CustomerID,Country,Quantity,UnitPrice,NumProducts,DayOfWeek,Month,Hour,IsReturning,SessionLength,PagesViewed,TotalSales,WillPurchase
10892,UK,4.0,108.25,5,5,11,18,0,29.7,12,433.0,0
17739,France,25.0,106.83,7,3,9,14,1,4.0,24,2670.75,1
16545,Norway,28.0,30.8,17,4,3,18,1,27.9,18,862.4,0
14388,Australia,36.0,5.98,2,6,12,10,1,48.2,28,215.28000000000003,0
14330,UK,29.0,45.92,3,0,12,11,0,35.9,5,1331.68,0
18585,UK,10.0,23.99,6,0,1,9,1,55.3,26,239.89999999999998,0
10859,Sweden,18.0,59.67,12,6,1,16,0,43.3,17,1074.06,0
16973,Sweden,22.0,146.91,16,3,3,17,0,46.9,23,3232.02,1
12014,UK,49.0,27.57,11,4,10,11,0,28.0,23,1350.93,0
10941,Germany,27.0,48.17,10,2,8,12,1,11.2,17,1300.5900000000001,0
15264,UK,32.0,108.9,17,5,7,15,0,54.8,14,3484.8,1
19756,UK,37.0,76.62,4,4,5,17,1,39.9,24,2834.94,1
17357,UK,18.0,7.07,18,1,6,11,1,54.7,15,127.26,0
17611,UK,48.0,24.67,6,4,8,14,0,37.4,29,1184.16,0
17174,UK,34.0,140.32,6,0,1,10,1,27.8,20,4770.88,1
17860,Australia,42.0,15.92,19,1,8,18,1,8.9,19,668.64,0
15132,UK,37.0,95.45,13,1,3,19,0,24.5,17,3531.65,1
11281,UK,31.0,118.95,9,5,10,17,1,36.3,8,3687.4500000000003,1
18397,UK,2.0,40.18,7,5,3,18,0,55.9,22,80.36,0
14503,UK,29.0,108.9,9,0,1,17,1,49.9,8,3158.1000000000004,1
15003,UK,7.0,25.9,16,6,6,18,0,31.3,18,181.29999999999998,0
13707,Germany,30.0,43.07,3,5,6,13,0,27.4,24,1292.1,0
11825,UK,35.0,47.12,4,3,7,10,0,3.0,14,1649.1999999999998,1
19267,Germany,27.0,149.47,6,1,11,20,0,21.7,29,4035.69,1
17815,Sweden,16.0,32.58,10,2,9,8,0,58.9,5,521.28,0
16438,UK,3.0,19.82,16,4,5,13,1,,7,59.46,0
14024,Sweden,33.0,138.89,5,4,9,17,1,32.0,9,4583.37,1
